id,source,sid,period,year,frequency,currency,total_revenue,gross_profit,net_income,basic_eps,norm_ebitda,net_profit,net_profit_growth,eps_growth,dividend_per_share,created_date,updated_date,month
1,aastocks,0670.HK,2015/12,2015,annual,HKD,0.0,0.0,0.0,0.4116,0.0,5336000000.0,25.39,22.17,0.0,0.0,0.0,12
2,aastocks,0670.HK,2016/12,2016,annual,HKD,0.0,0.0,0.0,0.3667,0.0,4998000000.0,-6.33,-10.91,0.1111,0.0,0.0,12
3,aastocks,0670.HK,2017/12,2017,annual,HKD,0.0,0.0,0.0,0.5275,0.0,7603000000.0,52.12,43.85,0.0611,0.0,0.0,12
4,aastocks,0670.HK,2018/12,2018,annual,HKD,0.0,0.0,0.0,0.2163,0.0,3072000000.0,-59.6,-58.99,0.0,0.0,0.0,12
5,aastocks,0670.HK,2019/12,2019,annual,HKD,0.0,0.0,0.0,0.2347,0.0,3567000000.0,16.12,8.48,0.0559,0.0,0.0,12
6,aastocks,0670.HK,2016/06,2016,quarterly,HKD,0.0,0.0,0.0,0.2903,0.0,3751000000.0,-15.71,-17.3,0.0592,0.0,0.0,06
7,aastocks,0670.HK,2017/06,2017,quarterly,HKD,0.0,0.0,0.0,0.3458,0.0,5004000000.0,33.41,19.12,0.0,0.0,0.0,06
8,aastocks,0670.HK,2018/06,2018,quarterly,HKD,0.0,0.0,0.0,0.1892,0.0,2694000000.0,-46.15,-45.3,0.0,0.0,0.0,06
9,aastocks,0670.HK,2019/06,2019,quarterly,HKD,0.0,0.0,0.0,0.1478,0.0,2206000000.0,-18.11,-21.88,0.0,0.0,0.0,06
10,aastocks,0670.HK,2020/06,2020,quarterly,HKD,0.0,0.0,0.0,-0.57,0.0,-9364000000.0,-5.2447869446962825,-4.856562922868742,0.0,0.0,0.0,06
11,aastocks,0001.HK,2015/12,2015,annual,HKD,0.0,0.0,0.0,36.91,0.0,118570000000.0,120.11,58.68,2.55,0.0,0.0,12
12,aastocks,0001.HK,2016/12,2016,annual,HKD,0.0,0.0,0.0,8.55,0.0,33008000000.0,-72.16,-76.84,2.68,0.0,0.0,12
13,aastocks,0001.HK,2017/12,2017,annual,HKD,0.0,0.0,0.0,9.1,0.0,35100000000.0,6.34,6.43,2.85,0.0,0.0,12
14,aastocks,0001.HK,2018/12,2018,annual,HKD,0.0,0.0,0.0,10.11,0.0,39000000000.0,11.11,11.1,3.17,0.0,0.0,12
15,aastocks,0001.HK,2019/12,2019,annual,HKD,0.0,0.0,0.0,10.33,0.0,39830000000.0,2.13,2.18,3.17,0.0,0.0,12
16,aastocks,0001.HK,2016/06,2016,quarterly,HKD,0.0,0.0,0.0,3.87,0.0,14921000000.0,-85.35,-90.29,0.735,0.0,0.0,06
17,aastocks,0001.HK,2017/06,2017,quarterly,HKD,0.0,0.0,0.0,4.13,0.0,15919000000.0,6.69,6.72,0.78,0.0,0.0,06
18,aastocks,0001.HK,2018/06,2018,quarterly,HKD,0.0,0.0,0.0,4.67,0.0,18020000000.0,13.2,13.08,0.87,0.0,0.0,06
19,aastocks,0001.HK,2019/06,2019,quarterly,HKD,0.0,0.0,0.0,4.75,0.0,18324000000.0,1.69,1.71,0.87,0.0,0.0,06
