id,source,sid,period,year,frequency,currency,total_revenue,gross_profit,net_income,basic_eps,norm_ebitda,net_profit,net_profit_growth,eps_growth,dividend_per_share,created_date,updated_date
11,aastocks,0001.HK,2015/12,2015,annual,HKD,,,,36.91,,118570000000.0,120.11,58.68,2.55,,
12,aastocks,0001.HK,2016/12,2016,annual,HKD,,,,8.55,,33008000000.0,-72.16,-76.84,2.68,,
13,aastocks,0001.HK,2017/12,2017,annual,HKD,,,,9.1,,35100000000.0,6.34,6.43,2.85,,
14,aastocks,0001.HK,2018/12,2018,annual,HKD,,,,10.11,,39000000000.0,11.11,11.10,3.17,,
15,aastocks,0001.HK,2019/12,2019,annual,HKD,,,,10.33,,39830000000.0,2.13,2.18,3.17,,
16,aastocks,0001.HK,2016/06,2016,quarterly,HKD,,,,3.87,,14921000000.0,-85.35,-90.29,0.735,,
17,aastocks,0001.HK,2017/06,2017,quarterly,HKD,,,,4.13,,15919000000.0,6.69,6.72,0.78,,
18,aastocks,0001.HK,2018/06,2018,quarterly,HKD,,,,4.67,,18020000000.0,13.20,13.08,0.87,,
19,aastocks,0001.HK,2019/06,2019,quarterly,HKD,,,,4.75,,18324000000.0,1.69,1.71,0.87,,
20,aastocks,0001.HK,2020/06,2020,quarterly,HKD,,,,3.37,,13000000000.0,-29.05,-29.05,0.614,,
21,aastocks,0002.HK,2016/12,2016,annual,HKD,,,,5.03,,12711000000.0,-18.81,-18.87,2.8,,
22,aastocks,0002.HK,2017/12,2017,annual,HKD,,,,5.64,,14249000000.0,12.10,12.13,2.91,,
23,aastocks,0002.HK,2018/12,2018,annual,HKD,,,,5.36,,13550000000.0,-4.91,-4.96,3.02,,
24,aastocks,0002.HK,2019/12,2019,annual,HKD,,,,1.84,,4657000000.0,-65.63,-65.67,3.08,,
25,aastocks,0002.HK,2020/12,2020,annual,HKD,,,,4.53,,11456000000.0,146.00,146.20,3.1,,
26,aastocks,0002.HK,2016/06,2016,quarterly,HKD,,,,2.42,,6125000000.0,7.02,6.61,0.57,,
